Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-07-11 21:00:00+01:00,33876.296875,34186.703125,33809.51953125,34185.08984375,267769856,0,0
2021-07-11 22:30:00+01:00,34161.21875,34584.703125,34161.21875,34386.19140625,1035044864,0,0
2021-07-12 00:00:00+01:00,34396.015625,34396.015625,34133.10546875,34197.3359375,494675968,0,0
2021-07-12 01:30:00+01:00,34208.3828125,34276.078125,34106.93359375,34150.53515625,387125248,0,0
2021-07-12 03:00:00+01:00,34148.0703125,34480.71875,34118.91796875,34480.71875,558639104,0,0
2021-07-12 04:30:00+01:00,34486.22265625,34592.15625,34309.0234375,34309.0234375,768927744,0,0
2021-07-12 06:00:00+01:00,34311.3125,34327.54296875,34194.21875,34315.94921875,231962624,0,0
2021-07-12 07:30:00+01:00,34314.14453125,34500.890625,34276.3359375,34278.7109375,344483840,0,0
2021-07-12 09:00:00+01:00,34292.0078125,34460.3046875,34145.94921875,34176.86328125,713791488,0,0
2021-07-12 10:30:00+01:00,34171.4609375,34220.42578125,33724.1484375,33780.80859375,892282880,0,0
2021-07-12 12:00:00+01:00,33789.01953125,33789.01953125,33510.71875,33541.89453125,459784192,0,0
2021-07-12 13:30:00+01:00,33531.796875,33604.66796875,33362.2890625,33593.81640625,510394368,0,0
2021-07-12 15:00:00+01:00,33586.8828125,33586.8828125,33395.2421875,33478.2890625,338495488,0,0
2021-07-12 16:30:00+01:00,33480.03515625,33511.41015625,33130.3203125,33205.76171875,338851840,0,0
2021-07-12 18:00:00+01:00,33167.6953125,33250.28125,33072.9765625,33179.00390625,859688960,0,0
2021-07-12 19:30:00+01:00,33175.375,33324.23828125,32823.2890625,32859.4296875,716838912,0,0
2021-07-12 21:00:00+01:00,32833.3984375,32982.875,32709.095703125,32878.10546875,561229824,0,0
2021-07-12 22:30:00+01:00,32890.515625,33092.66015625,32842.31640625,33075.2109375,469544960,0,0
2021-07-13 00:00:00+01:00,33072.71484375,33254.30078125,32886.51953125,33006.76171875,641421312,0,0
2021-07-13 01:30:00+01:00,32997.2890625,33217.60546875,32983.38671875,33137.55859375,287666176,0,0
2021-07-13 03:00:00+01:00,33169.875,33234.453125,33092.0,33229.19140625,2568192,0,0
2021-07-13 04:30:00+01:00,33239.375,33239.375,33075.859375,33154.50390625,36063232,0,0
2021-07-13 06:00:00+01:00,33134.04296875,33150.29296875,32786.96875,32959.55078125,195305472,0,0
2021-07-13 07:30:00+01:00,32946.08984375,33287.08984375,32946.08984375,33182.5546875,774350848,0,0
2021-07-13 09:00:00+01:00,33189.5859375,33264.546875,33138.25,33236.6640625,305547264,0,0
2021-07-13 10:30:00+01:00,33210.82421875,33308.90625,33085.23828125,33104.44921875,420702208,0,0
2021-07-13 12:00:00+01:00,33109.765625,33191.6171875,32870.34765625,32879.24609375,115218432,0,0
2021-07-13 13:30:00+01:00,32891.375,32891.375,32327.251953125,32621.052734375,1220573184,0,0
2021-07-13 15:00:00+01:00,32605.88671875,32687.2421875,32496.84765625,32687.2421875,639850496,0,0
2021-07-13 16:30:00+01:00,32679.783203125,32858.56640625,32650.21875,32824.234375,147036160,0,0
2021-07-13 18:00:00+01:00,32811.16015625,32890.30859375,32654.970703125,32685.69140625,406056960,0,0
2021-07-13 19:30:00+01:00,32669.685546875,32690.04296875,32294.5859375,32310.130859375,539670528,0,0
2021-07-13 21:00:00+01:00,32317.375,32629.166015625,32261.419921875,32477.521484375,437063680,0,0
2021-07-13 22:30:00+01:00,32496.474609375,32630.314453125,32451.36328125,32554.09375,246110208,0,0
2021-07-14 00:00:00+01:00,32584.77734375,32765.435546875,32546.2734375,32601.767578125,383434752,0,0
2021-07-14 01:30:00+01:00,32619.078125,32644.490234375,32279.009765625,32365.080078125,375011328,0,0
2021-07-14 03:00:00+01:00,32379.642578125,32576.759765625,31842.09375,31848.140625,402694144,0,0
2021-07-14 04:30:00+01:00,31847.583984375,32022.880859375,31693.458984375,31956.8671875,808097792,0,0
2021-07-14 06:00:00+01:00,31950.470703125,31996.220703125,31748.26953125,31859.728515625,303849472,0,0
2021-07-14 07:30:00+01:00,31863.37890625,31984.232421875,31839.41796875,31925.921875,220962816,0,0
2021-07-14 09:00:00+01:00,31932.603515625,32481.130859375,31639.125,32316.142578125,1631129600,0,0
2021-07-14 10:30:00+01:00,32355.884765625,32647.8359375,32294.34765625,32442.958984375,664915968,0,0
2021-07-14 12:00:00+01:00,32448.4140625,32566.01953125,32364.02734375,32390.72265625,516945920,0,0
2021-07-14 13:30:00+01:00,32386.23046875,32838.046875,32313.337890625,32818.765625,463534080,0,0
2021-07-14 15:00:00+01:00,32800.51953125,32943.01953125,32772.69921875,32874.46484375,703596544,0,0
2021-07-14 16:30:00+01:00,32823.27734375,32902.37109375,32737.091796875,32843.32421875,508645376,0,0
2021-07-14 18:00:00+01:00,32847.0390625,32910.703125,32799.4765625,32895.57421875,128552960,0,0
2021-07-14 19:30:00+01:00,32902.0078125,33061.3984375,32621.01171875,32734.552734375,649185280,0,0
2021-07-14 21:00:00+01:00,32734.529296875,32921.88671875,32734.529296875,32868.4921875,522100736,0,0
2021-07-14 22:30:00+01:00,32880.15625,33037.09375,32771.2265625,32976.8125,632643584,0,0
2021-07-15 00:00:00+01:00,32968.421875,32975.66796875,32674.232421875,32818.65625,346337280,0,0
